10277,Agilent Technologies Inc - A,A,"Agilent Technologies, Inc. provides bio-analytical solutions and services to the life sciences, chemical analysis, diagnostics and genomics, communications, and electronics industries worldwide. The company?s Life Sciences and Diagnostics segment offers liquid chromatography systems, columns, and components; liquid chromatography mass spectrometry systems; laboratory software and informatics systems; laboratory automation and robotic systems; dissolution testing; nucleic acid solutions; nuclear magnetic resonance, magnetic resonance imaging, and X-ray diffraction systems; immunohistochemistry; in situ hybridization; hematoxylin and eosin staining; DNA mutation detection; genotyping; gene copy number determination; identification of gene rearrangements; DNA methylation and gene expression profiling; next generation sequencing target enrichment; and automated gel electrophoresis-based sample analysis systems. Its Chemical Analysis segment provides gas chromatography systems, columns, and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; inductively coupled plasma optical emission spectrometry instruments; molecular spectroscopy instruments; software and data systems; and vacuum pumps and measurement technologies. Agilent Technologies, Inc. sells its products through direct sales; and distributors, resellers, manufacturer""s representatives, telesales, and electronic commerce. The company was founded in 1999 and is headquartered in Santa Clara, California.",1999-11-18,,Healthcare,Diagnostics & Research,,,,5,,,26,69,f,f,"5301 Stevens Creek Boulevard Santa Clara, CA 95051 United States","Agilent Technologies, Inc.",408-345-8886,http://www.agilent.com,t,agilent-technologies-inc-a,,,/radient-public-assets/equity_logos/10277.jpg,1,2019-01-21 07:49:35.965767+00
10278,Alcoa Inc - AA,AA,"Alcoa Inc. (Alcoa) is engaged in the production and management of primary aluminum, fabricated aluminum, and alumina combined, through its participation in technology, mining, refining, smelting, fabricating, and recycling. Alcoa""s products are used worldwide in aircraft, automobiles, commercial transportation, packaging, building and construction, oil and gas, defense, consumer electronics, and industrial applications. Alcoa is a global company operating in 31 countries. Alcoa""s operations consist of four worldwide reportable segments: Alumina, Primary Metals, Flat-Rolled Products, and Engineered Products and Solutions. On March 9, 2011, Alcoa completed an acquisition of the aerospace fastener business of TransDigm Group Inc.",2016-11-01,,Basic Materials,Aluminum,,,,5,,,26,69,f,f,"201 Isabella Street Suite 500 Pittsburgh, PA 15212 United States",Alcoa Corporation,412-315-2900,http://www.alcoa.com,t,alcoa-inc-aa,,,/radient-public-assets/equity_logos/10278.jpg,1.11111111111111,2019-01-21 07:49:35.965767+00
10279,Yahoo! Inc - AABA,AABA,Yahoo! Inc.,1996-04-12,,Financial Services,Asset Management,,,,1,,,26,69,f,f,"140 East 45th Street 15th Floor New York, NY 10017 United States",Altaba Inc.,646-679-2000,http://www.altaba.com,t,yahoo-inc-aaba,,,/radient-public-assets/equity_logos/10279.jpg,3.40909090909091,2019-01-21 07:49:35.965767+00
10280,American Addiction Centers - AAC,AAC,"American Addiction Centers is a leading provider of inpatient substance abuse treatment services. We treat adults as well as adolescents who are struggling with drug addiction, alcohol addiction, and co-occurring mental/behavioral health issues. AAC""s comprehensive, quality treatment includes innovative approaches and begins with the care and expertise of a staff dedicated to providing the best in the industry for our clients.",2014-10-02,,Healthcare,Medical Care,,,,5,,,26,69,f,f,"200 Powell Place Brentwood, TN 37027 United States","AAC Holdings, Inc.",615-732-1231,http://www.americanaddictioncenters.org,t,american-addiction-centers-aac,,,/radient-public-assets/equity_logos/10280.jpg,1,2019-01-21 07:49:35.965767+00
10281,American Airlines Group Inc - AAL,AAL,"American Airlines Group Inc., through its subsidiaries, operates in the airline industry. As of December 31, 2014, the company operated 983 mainline jets, as well as 566 regional aircrafts through regional airline subsidiaries and third-party regional carriers. It serves 339 destinations in 54 countries. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1934 and is headquartered in Fort Worth, Texas.",2005-09-27,,Industrials,Airlines,,,,1,,,26,69,f,f,"4333 Amon Carter Boulevard Fort Worth, TX 76155 United States",American Airlines Group Inc.,817-963-1234,http://www.aa.com,t,american-airlines-group-inc-aal,,,/radient-public-assets/equity_logos/10281.jpg,1,2019-01-21 07:49:35.965767+00
10282,Altisource Asset Management Corp - AAMC,AAMC,"Altisource Asset Management Corporation provides asset management and corporate governance services for institutional investors in the United States. The company offers its services under a residential asset management agreement to Altisource Residential Corporation, which acquires and owns single-family rental assets. It also provides management services to NewSource Reinsurance Company Ltd. The company was founded in 2012 and is headquartered in Frederiksted, Virgin Islands.",2012-12-13,,Financial Services,Asset Management,62,,,5,,,26,69,f,f,"5100 Tamarind Reef Christiansted, VI 00820 United States",Altisource Asset Management Corporation,340-692-1055,http://www.altisourceamc.com,t,altisource-asset-management-corp-aamc,,,/radient-public-assets/equity_logos/0.jpg,1,2019-01-21 07:49:35.965767+00
10283,Atlantic American Corp - AAME,AAME,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. Its property and casualty insurance products include business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and personal property, inland marine, and general liability products. The company also offers surety bond coverage for school bus transportation and subdivision construction, as well as performance and payment bonds. In addition, it provides life and supplemental health products, including ordinary and term life insurance, Medicare supplement, and other accident and health insurance products. The company markets its policies through independent agents. Atlantic American Corporation was founded in 1968 and is headquartered in Atlanta, Georgia.",1984-09-07,,Financial Services,Insurance - Life,154,,,1,,,26,69,f,f,"4370 Peachtree Road, NE Atlanta, GA 30319 United States",Atlantic American Corporation,404-266-5500,http://www.atlam.com,t,atlantic-american-corp-aame,,,/radient-public-assets/equity_logos/0.jpg,1,2019-01-21 07:49:35.965767+00
10284,"Aaron's, Inc - AAN",AAN,"Aaron""s, Inc. (Aaron""s) is a specialty retailer of consumer electronics, computers, residential furniture, household appliances and accessories. Aaron""s is engaged in the lease ownership, lease and retail sale of a variety of products, such as widescreen and liquid crystal display (LCD) televisions, computers, living room, dining room and bedroom furniture, washers, dryers and refrigerators. It carries brands, such as JVC, Mitsubishi, Philips, Panasonic, Sony, Dell, Hewlett-Packard, Simmons, Frigidaire, and Sharp. It operates in four segments: Sales and Lease Ownership, Franchise, HomeSmart, and Manufacturing. The Company acquired the lease agreements, merchandise and assets of 38 Aaron""s Sales & Lease Ownership stores and 47 HomeSmart stores during the fiscal year ended December 31, 2011. In 2011, it sold 10 of its sales and lease ownership stores to franchisees and 15 to a third party operators. It added a net of 82 Company-operated sales and lease ownership stores in 2011.",1984-09-07,,Industrials,Rental & Leasing Services,,,,5,,,26,69,f,f,"400 Galleria Parkway SE Suite 300 Atlanta, GA 30339 United States","Aaron's, Inc.",678-402-3000,http://www.aarons.com,t,aaron-s-inc-aan,,,/radient-public-assets/equity_logos/10284.jpg,1,2019-01-21 07:49:35.965767+00
10285,Applied Optoelectronics Inc - AAOI,AAOI,"Applied Optoelectronics, Inc. is a vertically integrated provider of fiber-optic networking products, primarily for three networking end-markets: cable television, (CATV), fiber-to-the-home (FTTH), and Internet data centers. The Company designs and manufactures a range of optical communications products at varying levels of integration, from components, subassemblies and modules to complete turn-key equipment. The Company designs, manufactures and integrates its own analog and digital lasers using a Molecular Beam Epitaxy (MBE), fabrication process. The Company""s solutions enable customers to deliver products; enhance efficiency and cost effectiveness of its customers"" supply chain; deliver high quality, reliable products in high volume; and provide sophisticated design solutions to its customers. The Company manufactures the majority of the laser chips and optical components that are used in its products.",2013-09-26,,Technology,Semiconductors,,,,1,,,26,69,f,f,"13139 Jess Pirtle Boulevard Sugar Land, TX 77478 United States","Applied Optoelectronics, Inc.",281-295-1800,http://www.ao-inc.com,t,applied-optoelectronics-inc-aaoi,,,/radient-public-assets/equity_logos/10285.jpg,1,2019-01-21 07:49:35.965767+00
10286,"AAON, Inc - AAON",AAON,"AAON, Inc. (AAON) is engaged in the manufacture and sale of air-conditioning and heating equipment. The Company""s products consist of rooftop units, chillers, air-handling units, make-up air units, heat recovery units, condensing units, commercial self contained units and coils. Its products serve the commercial and industrial new construction and replacement markets. AAON markets its products to 50 states in the United States and certain provinces in Canada. Its operating subsidiaries include AAON, Inc. and AAON Coil Products, Inc. The Company""s rooftop and condenser markets consist of units installed on commercial or industrial structures of generally less than 10 stories in height. Its air-handling units, commercial self-contained units, chillers, and coils are applicable to all sizes of commercial and industrial buildings.",1992-12-16,,Basic Materials,Building Materials,,,,1,,,26,69,f,f,"2425 South Yukon Avenue Tulsa, OK 74107 United States","AAON, Inc.",918-583-2266,http://www.aaon.com,t,aaon-inc-aaon,,,/radient-public-assets/equity_logos/10286.jpg,2.27272727272727,2019-01-21 07:49:35.965767+00
